id,name,category
0,Lookingglass Theatre Company,2
1,Lincoln Park,5
2,The Loop,1
3,Garfield Park Conservatory,5
4,The Art Institute of Chicago,4
5,Frank Lloyd Wright's Robie House,1
6,place,0
7,Maggie Daley Park,5
8,Chicago Skyline,5
9,The Chicago Theatre,2
10,Holy Name Cathedral,0
11,Chicago River,5
12,Lincoln Park Conservatory,5
13,Oriental Institute Museum,4
14,Water Tower Place,1
15,Macy's on State Street,1
16,Chicago Children's Museum,4
17,The Peggy Notebaert Nature Museum,5
18,Calder’s Flamingo,1
19,Carbide and Carbon Building,1
20,Jackson Park's Japanese Garden,5
21,Ukrainian Village,3
22,Chicago Jazz Festival,2
23,Rosehill Cemetery,1
24,Lincoln Monument,1
25,EscapeHouse Chicago,2
26,Chicago Food Planet,3
27,Absolutely Chicago Segway Tours,1
28,Urban Kayaks,5
29,Chuan Spa,3
30,Chicago Dine-Around,2
31,Babylon Tours Chicago,4
32,"Come Sailing, Inc.",5
33,UNO Pizzeria & Grill Cooking Class,3
34,Richard Gray Gallery,4
35,Caldwell Woods,5
36,Thomas Masters Gallery,4
37,McCormick Freedom Project,1
38,Kavi Gupta Gallery (formerly Vedanta Gallery),4
39,InMotion Entertainment,3
40,The Murphy,1
41,Hoypoloi,3
42,The Gift Theatre,2
43,Maya Polsky Gallery,4
44,Our Lady of Lourdes Church,1
45,McCormick Tribune Center,1
46,Dufry,3
47,Graham Foundation for Advanced Studies in the Fine Arts,1
48,Man Enters the Cosmos,1
49,Christkindlemarket,3
50,ETA Creative Arts Foundation,2
51,The Dance Center-Columbia College Chicago,2
52,Steep Theatre Co,2
53,National Archives at Chicago,4
54,Fred Anderson Dog Park,5
55,Cooking & Hospitality Institute of Chicago,2
56,Filament Theatre,2
57,Douglas Dawson Gallery,3
58,DePaul University Merle Reskin Theatre,2
59,First Lutheran Church of the Trinity,0
60,Newcity,3
61,Noble Fool Theater,2
62,Freedom Wall,1
63,"St. Therese Chinese Catholic Church, Chicago",0
64,Erwin Pearl,3
65,About Face Theater,2
66,Gage Gallery,4
67,St. Volodymyr Cathedral,0
68,"Illinois Artisans, Chicago",1
69,Brookstone,3
70,Explore and Much More,5
71,The Leigh Gallery,4
72,Jay Robert's Antique Warehouse,3
73,Illinois Institute of Technology Main Building and Machinery Hall,1
74,George Wellington “Cap’n” Streeter,1
75,Holy Innocents Church,0
76,Sunglass Hut,3
77,Shrine of our Lady of Pompeii,0
78,Barbara's Bookstore,3
79,The Blue Theatre,2
80,Burnham Greenway,5
81,Senior Citizen Memorial Playlot Park,3
82,Museum of Private Art Collections: Featuring the Work of Dali and Lamb,1
83,Storefront Theater,2
84,Albany Park Theater Project,1
85,Hyde Park Chamber of Commerce,5
86,Monument to the Great Northern Migration,1
87,Galleria 1712,0
88,Ballet Chicago,1
89,Remy Bumppo Theatre Company,2
90,Lake View Presbyterian Church,0
91,Chicago Center for the Performing Arts,2
92,Day Frog,3
93,Anshe Emet Synagogue,0
94,Congress Theater,2
95,Galerie F,4
96,Bob Newhart Statue,1
97,Architech Gallery,4
98,Lake Effect Brewing Company,3
99,Grave of Andreas Von Zirngibl,1
100,MontBlanc,1
101,Greene Vardiman Black Statue,1
102,West Side Grounds,2
103,Mana Contemporary,5
104,Jean Baptiste Point Du Sable Homesite,1
105,The Chicago Sketch Comedy Festival,2
106,HBTV Hearty Boys,3
107,Temple Sholom,0
108,Polish Triangle,1
109,St Adalbert Church,0
110,Foodseum,4
111,Oakley,3
112,Woman Made Gallery,4
113,Chinese American Veterans Memorial,1
114,Alexander Hamilton Monument,1
115,pH Comedy Theater,2
116,Bust Of Sir George Solti,1
117,Redmoon Theater,2
118,Chicago Women's Park & Gardens,5
119,Holtschneider Performance Center,2
120,Gallagher Way,3
121,Raven Theatre,2
122,All Saints - St Anthony,0
123,Thirty Five E Wacker,1
124,Comfort Station,4
125,Trap Door Theatre,2
126,Mission Theater,2
127,Tree Studio Complex,4
128,The Public House Theatre,2
129,Bronzeville Children's Museum,4
130,South Side Community Art Center,4
131,United Club,3
132,Bryan Lathrop House,1
133,St. Alphonsus Roman catholic Church,0
134,Shipwreck of the Silver Spray,5
135,St. Malachy and Precious Blood Church,0
136,St. Thomas the Apostle Catholic Parish,0
137,Cards Against Humanity Theater,2
138,Route 66 End Sign,1
139,Curly Tail Fine Art,4
140,William Shakespeare Monument,1
141,The House Theatre of Chicago,2
142,Rolling Stones Records,3
143,Johnny Twist Blues Museum,0
144,McKinley Park,1
145,Vosges Haut-Chocolat,3
146,The Edge Theater,2
147,Zolla/Lieberman Gallery,4
148,Under The Gun Theater,2
149,Sol LeWitt's Lines in Four Directions,3
150,Alphawood Gallery,4
151,St. Mary of the Lake Parish,0
152,Insidechicagowalkingtours,4
153,Red Hill Birding,5
154,City Experiences By Hornblower,2
155,Seabird Sailing,5
156,Ghost City Tours of Chicago,1
157,Chicagoland Brews Cruise,3
158,Windy City Ghosts,1
159,Chicago Cycleboats,5
160,Chicago River Boat Architecture Tours,1
161,Chicago Segway Tour,1
162,Fat Tire Tours,1
163,Nightly Spirits,3
164,Dovetail Brewery,3
165,606 Tours Chicago,1
166,New Adventure Sailing,5
167,Chicago Sailboat Charters,5
168,Chicago Bike Adventures,1
169,Chicago Hauntings,1
170,Chicago from the Lake Ltd,1
171,Rotorzen Helicopters Inc,5
172,3rd Coast Charters,5
173,WALKIN' WITH COLIN - A*SHOW*ON*THE*GO!,4
174,Chicago Urban Adventures,3
175,Loop Tour Train,1
176,Angler Charters,5
177,Phenix Sailing Charters,5
178,Chicago Pedway Tour,1
179,City Cruises Chicago Chicago River,3
180,Empire Builder,1
